customer_id,sex,is_married,event_time,age_18-29,age_30-39,age_40-49,age_50-59,age_60-69,age_70-plus,n_days_active
C1,0,0,2024-07-04T22:32:32.766Z,False,False,False,True,False,False,0.08356164383561637
C2,1,0,2024-07-04T22:32:32.767Z,True,False,False,False,False,False,0.6595890410958904
C3,1,1,2024-07-04T22:32:32.769Z,False,False,False,False,True,False,0.40205479452054793
C4,1,0,2024-07-04T22:32:32.770Z,False,False,False,True,False,False,0.7089041095890412
C5,1,1,2024-07-04T22:32:32.772Z,False,True,False,False,False,False,0.7657534246575342
C6,0,1,2024-07-04T22:32:32.774Z,True,False,False,False,False,False,0.06712328767123288
C7,1,0,2024-07-04T22:32:32.775Z,False,False,False,False,True,False,0.465068493150685
C8,1,0,2024-07-04T22:32:32.776Z,False,False,False,False,False,True,0.9705479452054795
C9,1,0,2024-07-04T22:32:32.777Z,False,False,False,False,False,True,0.8178082191780822
C10,0,0,2024-07-04T22:32:32.780Z,False,False,False,True,False,False,0.6075342465753424
C11,0,1,2024-07-04T22:32:32.783Z,False,False,False,False,True,False,0.7034246575342467
C12,1,0,2024-07-04T22:32:32.785Z,True,False,False,False,False,False,0.004794520547945158
C13,1,1,2024-07-04T22:32:32.787Z,False,True,False,False,False,False,0.03013698630136985
C14,1,1,2024-07-04T22:32:32.788Z,False,True,False,False,False,False,0.19931506849315062
C15,1,1,2024-07-04T22:32:32.790Z,False,False,False,False,True,False,0.6623287671232876
C16,0,1,2024-07-04T22:32:32.792Z,False,False,False,False,False,True,0.7582191780821919
C17,0,0,2024-07-04T22:32:32.793Z,False,False,False,True,False,False,0.6047945205479452
C18,1,0,2024-07-04T22:32:32.794Z,False,False,True,False,False,False,0.048630136986301364
C19,0,0,2024-07-04T22:32:32.796Z,False,True,False,False,False,False,0.297945205479452
C20,0,1,2024-07-04T22:32:32.797Z,True,False,False,False,False,False,0.9705479452054795
C21,1,0,2024-07-04T22:32:32.799Z,False,False,False,False,False,True,0.5753424657534247
C22,0,1,2024-07-04T22:32:32.800Z,True,False,False,False,False,False,0.8164383561643835
C23,1,0,2024-07-04T22:32:32.801Z,False,False,False,False,True,False,0.6246575342465754
C24,0,1,2024-07-04T22:32:32.803Z,True,False,False,False,False,False,0.18287671232876712
C25,0,1,2024-07-04T22:32:32.804Z,True,False,False,False,False,False,0.5034246575342465
C26,0,0,2024-07-04T22:32:32.805Z,False,False,False,True,False,False,0.4363013698630136
C27,1,1,2024-07-04T22:32:32.806Z,False,False,False,False,False,True,0.09109589041095889
C28,0,1,2024-07-04T22:32:32.808Z,False,True,False,False,False,False,0.7671232876712328
C29,1,0,2024-07-04T22:32:32.809Z,True,False,False,False,False,False,0.12876712328767126
C30,1,1,2024-07-04T22:32:32.811Z,True,False,False,False,False,False,0.3650684931506849
C31,0,0,2024-07-04T22:32:32.812Z,False,True,False,False,False,False,0.7465753424657535
C32,1,1,2024-07-04T22:32:32.813Z,False,True,False,False,False,False,0.9226027397260275
C33,1,0,2024-07-04T22:32:32.814Z,True,False,False,False,False,False,0.5075342465753425
C34,0,0,2024-07-04T22:32:32.816Z,False,False,False,True,False,False,0.3246575342465754
C35,0,1,2024-07-04T22:32:32.818Z,False,False,False,False,False,True,0.48972602739726034
C36,1,1,2024-07-04T22:32:32.818Z,False,False,False,False,False,False,0.9952054794520548
C37,0,0,2024-07-04T22:32:32.820Z,False,False,False,False,False,True,0.2712328767123289
C38,1,1,2024-07-04T22:32:32.821Z,False,False,False,True,False,False,0.013698630136986356
C39,1,1,2024-07-04T22:32:32.822Z,False,False,False,False,False,True,0.8643835616438356
C40,1,1,2024-07-04T22:32:32.824Z,True,False,False,False,False,False,0.5732876712328767
C41,0,1,2024-07-04T22:32:32.825Z,False,False,False,True,False,False,0.49178082191780814
C42,0,1,2024-07-04T22:32:32.826Z,False,False,False,False,True,False,0.9965753424657535
C43,0,1,2024-07-04T22:32:32.827Z,False,False,False,False,False,True,0.7376712328767123
C44,1,1,2024-07-04T22:32:32.829Z,False,False,False,False,False,True,0.5280821917808218
C45,1,0,2024-07-04T22:32:32.830Z,False,False,True,False,False,False,0.5226027397260273
C46,0,1,2024-07-04T22:32:32.832Z,False,False,False,False,False,True,0.8630136986301371
C47,1,0,2024-07-04T22:32:32.834Z,False,False,False,False,False,True,0.2863013698630137
C48,0,1,2024-07-04T22:32:32.836Z,False,False,False,True,False,False,0.15205479452054793
C49,0,0,2024-07-04T22:32:32.837Z,True,False,False,False,False,False,0.7102739726027398
C50,0,1,2024-07-04T22:32:32.838Z,False,False,False,False,True,False,0.49383561643835616
C51,1,1,2024-07-04T22:32:32.840Z,False,False,False,False,False,True,0.6561643835616437
C52,1,1,2024-07-04T22:32:32.841Z,False,False,False,False,False,True,0.9424657534246577
C53,0,0,2024-07-04T22:32:32.843Z,False,False,False,False,False,True,0.8595890410958904
C54,0,1,2024-07-04T22:32:32.845Z,False,False,False,False,False,True,0.5568493150684932
C55,1,0,2024-07-04T22:32:32.846Z,False,False,False,False,False,True,0.013698630136986356
C56,1,1,2024-07-04T22:32:32.847Z,False,False,False,False,False,True,0.16506849315068495
C57,0,1,2024-07-04T22:32:32.848Z,False,False,False,False,True,False,0.8075342465753426
C58,0,0,2024-07-04T22:32:32.850Z,False,False,False,False,False,True,0.5027397260273974
C59,1,1,2024-07-04T22:32:32.851Z,True,False,False,False,False,False,0.502054794520548
C60,1,1,2024-07-04T22:32:32.853Z,False,False,True,False,False,False,0.06438356164383552
C61,1,0,2024-07-04T22:32:32.854Z,True,False,False,False,False,False,0.8410958904109589
C62,1,1,2024-07-04T22:32:32.856Z,False,False,False,False,False,True,0.4924657534246575
C63,1,1,2024-07-04T22:32:32.858Z,False,False,False,True,False,False,0.9383561643835616
C64,0,1,2024-07-04T22:32:32.859Z,False,True,False,False,False,False,0.478082191780822
C65,1,0,2024-07-04T22:32:32.860Z,False,False,False,True,False,False,0.9116438356164385
C66,1,1,2024-07-04T22:32:32.861Z,False,False,False,False,True,False,0.5184931506849315
C67,1,0,2024-07-04T22:32:32.863Z,False,False,False,False,False,True,0.38972602739726026
C68,1,0,2024-07-04T22:32:32.864Z,False,False,False,False,True,False,0.24246575342465748
C69,1,0,2024-07-04T22:32:32.866Z,True,False,False,False,False,False,0.00205479452054802
C70,0,0,2024-07-04T22:32:32.867Z,False,False,False,False,False,True,0.9130136986301371
C71,0,1,2024-07-04T22:32:32.868Z,False,False,False,False,True,False,0.8472602739726027
C72,1,1,2024-07-04T22:32:32.870Z,False,False,False,False,False,False,0.3232876712328767
C73,0,0,2024-07-04T22:32:32.871Z,False,False,False,False,True,False,0.9205479452054797
C74,1,1,2024-07-04T22:32:32.873Z,True,False,False,False,False,False,0.42260273972602747
C75,0,0,2024-07-04T22:32:32.874Z,False,False,True,False,False,False,0.915068493150685
C76,1,1,2024-07-04T22:32:32.875Z,True,False,False,False,False,False,0.5308219178082192
C77,0,0,2024-07-04T22:32:32.877Z,False,False,False,False,True,False,0.6417808219178083
C78,0,0,2024-07-04T22:32:32.878Z,True,False,False,False,False,False,0.19109589041095898
C79,0,0,2024-07-04T22:32:32.879Z,False,False,False,False,True,False,0.40821917808219177
C80,0,1,2024-07-04T22:32:32.881Z,False,False,True,False,False,False,0.049315068493150704
C81,1,1,2024-07-04T22:32:32.882Z,False,False,False,False,True,False,0.5650684931506849
C82,0,1,2024-07-04T22:32:32.883Z,False,False,False,False,False,True,0.3061643835616439
C83,0,1,2024-07-04T22:32:32.885Z,False,False,False,False,False,True,0.30000000000000004
C84,0,1,2024-07-04T22:32:32.886Z,True,False,False,False,False,False,0.00273972602739736
C85,1,1,2024-07-04T22:32:32.888Z,False,False,False,True,False,False,0.4452054794520548
C86,1,0,2024-07-04T22:32:32.889Z,False,False,False,False,False,True,0.24109589041095902
C87,1,1,2024-07-04T22:32:32.891Z,False,False,True,False,False,False,0.1547945205479453
C88,0,0,2024-07-04T22:32:32.892Z,False,False,False,False,False,True,0.5417808219178082
C89,1,0,2024-07-04T22:32:32.893Z,False,False,False,False,False,True,0.18493150684931514
C90,1,1,2024-07-04T22:32:32.895Z,False,True,False,False,False,False,0.6513698630136986
C91,1,0,2024-07-04T22:32:32.896Z,False,True,False,False,False,False,0.5335616438356166
C92,0,1,2024-07-04T22:32:32.898Z,False,False,False,False,False,True,0.3616438356164384
C93,1,1,2024-07-04T22:32:32.899Z,False,False,False,False,False,True,0.3609589041095891
C94,1,1,2024-07-04T22:32:32.900Z,False,False,False,False,True,False,0.49931506849315066
C95,0,1,2024-07-04T22:32:32.902Z,False,False,False,False,False,True,0.3082191780821917
C96,0,0,2024-07-04T22:32:32.903Z,True,False,False,False,False,False,0.1863013698630136
C97,0,0,2024-07-04T22:32:32.904Z,True,False,False,False,False,False,0.9979452054794522
C98,1,1,2024-07-04T22:32:32.905Z,False,True,False,False,False,False,0.13767123287671224
C99,0,0,2024-07-04T22:32:32.907Z,False,False,False,False,False,True,0.6075342465753424
C100,0,1,2024-07-04T22:32:32.908Z,False,False,True,False,False,False,0.24520547945205484
C101,0,1,2024-07-04T22:32:32.909Z,True,False,False,False,False,False,0.454109589041096
C102,0,1,2024-07-04T22:32:32.911Z,False,False,True,False,False,False,0.39657534246575343
C103,1,1,2024-07-04T22:32:32.912Z,False,False,False,False,True,False,0.2924657534246575
C104,1,1,2024-07-04T22:32:32.913Z,False,False,False,True,False,False,0.2808219178082192
C105,1,1,2024-07-04T22:32:32.915Z,False,False,False,False,False,True,0.8561643835616439
C106,0,0,2024-07-04T22:32:32.916Z,False,False,False,False,False,True,0.9102739726027398
C107,0,0,2024-07-04T22:32:32.917Z,True,False,False,False,False,False,0.4232876712328768
C108,0,1,2024-07-04T22:32:32.919Z,False,True,False,False,False,False,0.7
C109,0,1,2024-07-04T22:32:32.920Z,True,False,False,False,False,False,0.765068493150685
C110,0,0,2024-07-04T22:32:32.922Z,False,False,False,False,False,True,0.32191780821917804
C111,1,1,2024-07-04T22:32:32.923Z,False,False,False,False,True,False,0.6589041095890411
C112,1,0,2024-07-04T22:32:32.925Z,True,False,False,False,False,False,0.3143835616438355
C113,0,0,2024-07-04T22:32:32.927Z,True,False,False,False,False,False,0.3582191780821917
C114,0,0,2024-07-04T22:32:32.928Z,False,False,False,False,False,True,0.68013698630137
C115,0,1,2024-07-04T22:32:32.929Z,True,False,False,False,False,False,0.7595890410958903
C116,0,0,2024-07-04T22:32:32.931Z,False,False,False,False,False,True,0.19109589041095898
C117,1,1,2024-07-04T22:32:32.932Z,False,False,False,False,True,False,0.5527397260273972
C118,1,1,2024-07-04T22:32:32.934Z,True,False,False,False,False,False,0.6020547945205479
C119,0,0,2024-07-04T22:32:32.935Z,False,False,False,False,False,True,0.17465753424657526
C120,0,0,2024-07-04T22:32:32.937Z,False,False,False,False,True,False,0.6253424657534246
C121,0,0,2024-07-04T22:32:32.938Z,True,False,False,False,False,False,0.7493150684931507
C122,1,1,2024-07-04T22:32:32.939Z,False,False,False,True,False,False,0.10136986301369855
C123,0,0,2024-07-04T22:32:32.940Z,False,False,False,True,False,False,0.765068493150685
C124,1,0,2024-07-04T22:32:32.942Z,False,False,False,False,False,True,0.03424657534246567
C125,1,1,2024-07-04T22:32:32.944Z,True,False,False,False,False,False,0.5760273972602741
C126,0,1,2024-07-04T22:32:32.945Z,False,False,False,False,False,True,0.8808219178082193
C127,0,1,2024-07-04T22:32:32.946Z,False,False,False,True,False,False,0.050684931506849384
C128,0,0,2024-07-04T22:32:32.948Z,False,False,False,False,False,True,0.2684931506849315
C129,0,1,2024-07-04T22:32:32.950Z,False,False,False,False,True,False,0.9876712328767123
C130,1,0,2024-07-04T22:32:32.951Z,True,False,False,False,False,False,0.03767123287671237
C131,0,0,2024-07-04T22:32:32.953Z,False,True,False,False,False,False,0.6369863013698631
C132,0,1,2024-07-04T22:32:32.954Z,False,False,False,False,False,True,0.7863013698630137
C133,1,1,2024-07-04T22:32:32.956Z,True,False,False,False,False,False,0.8321917808219179
C134,1,1,2024-07-04T22:32:32.957Z,False,True,False,False,False,False,0.7006849315068493
C135,1,0,2024-07-04T22:32:32.959Z,False,False,False,False,True,False,0.11712328767123292
C136,1,1,2024-07-04T22:32:32.960Z,False,False,True,False,False,False,0.9924657534246575
C137,1,0,2024-07-04T22:32:32.961Z,True,False,False,False,False,False,0.4452054794520548
C138,0,1,2024-07-04T22:32:32.963Z,True,False,False,False,False,False,0.20890410958904115
C139,1,1,2024-07-04T22:32:32.964Z,False,False,False,False,False,True,0.1643835616438356
C140,1,1,2024-07-04T22:32:32.965Z,False,False,False,False,True,False,0.665068493150685
C141,1,1,2024-07-04T22:32:32.967Z,False,False,False,False,False,True,0.1130136986301371
C142,1,1,2024-07-04T22:32:32.968Z,False,False,False,True,False,False,0.3979452054794521
C143,0,1,2024-07-04T22:32:32.969Z,False,True,False,False,False,False,0.510958904109589
C144,1,1,2024-07-04T22:32:32.971Z,False,False,False,True,False,False,0.46095890410958895
C145,1,0,2024-07-04T22:32:32.973Z,False,False,False,False,True,False,0.6027397260273972
C146,0,0,2024-07-04T22:32:32.974Z,False,False,False,False,True,False,0.8054794520547945
C147,1,1,2024-07-04T22:32:32.975Z,False,True,False,False,False,False,0.8123287671232877
C148,0,1,2024-07-04T22:32:32.977Z,False,False,False,False,False,True,0.9328767123287673
C149,0,1,2024-07-04T22:32:32.978Z,False,False,False,False,True,False,0.1130136986301371
C150,1,0,2024-07-04T22:32:32.980Z,False,False,False,False,False,True,0.36575342465753424
C151,1,0,2024-07-04T22:32:32.981Z,False,True,False,False,False,False,0.8184931506849316
C152,1,0,2024-07-04T22:32:32.983Z,False,True,False,False,False,False,0.044520547945205546
C153,1,0,2024-07-04T22:32:32.984Z,False,False,False,False,True,False,0.09452054794520559
C154,1,0,2024-07-04T22:32:32.985Z,False,False,False,False,False,True,0.8945205479452056
C155,0,1,2024-07-04T22:32:32.987Z,True,False,False,False,False,False,0.13219178082191774
C156,1,0,2024-07-04T22:32:32.988Z,False,True,False,False,False,False,0.09246575342465757
C157,0,1,2024-07-04T22:32:32.990Z,False,False,False,False,False,True,0.7054794520547945
C158,1,0,2024-07-04T22:32:32.991Z,True,False,False,False,False,False,0.07054794520547936
C159,0,1,2024-07-04T22:32:32.992Z,False,False,False,False,True,False,0.21849315068493147
C160,1,0,2024-07-04T22:32:32.993Z,False,False,False,False,False,True,0.46027397260273983
C161,1,0,2024-07-04T22:32:32.995Z,False,False,False,False,False,True,0.3636986301369862
C162,0,0,2024-07-04T22:32:32.996Z,False,False,False,True,False,False,0.7623287671232877
C163,0,1,2024-07-04T22:32:32.998Z,False,False,False,False,False,True,0.5835616438356164
C164,1,0,2024-07-04T22:32:32.999Z,True,False,False,False,False,False,0.3999999999999999
C165,1,1,2024-07-04T22:32:33.001Z,False,True,False,False,False,False,0.8260273972602741
C166,0,1,2024-07-04T22:32:33.002Z,False,False,False,False,False,True,0.23835616438356166
C167,0,1,2024-07-04T22:32:33.003Z,False,False,False,True,False,False,0.12465753424657544
C168,0,0,2024-07-04T22:32:33.005Z,False,False,False,False,False,True,0.3945205479452054
C169,0,0,2024-07-04T22:32:33.006Z,False,False,False,False,False,True,0.06849315068493156
C170,0,0,2024-07-04T22:32:33.008Z,False,False,False,False,False,True,0.3027397260273972
C171,0,1,2024-07-04T22:32:33.009Z,False,True,False,False,False,False,0.26712328767123283
C172,1,0,2024-07-04T22:32:33.011Z,False,False,False,False,True,False,0.6575342465753424
C173,1,0,2024-07-04T22:32:33.012Z,False,False,False,False,False,True,0.8095890410958904
C174,0,1,2024-07-04T22:32:33.014Z,False,True,False,False,False,False,0.6732876712328768
C175,1,1,2024-07-04T22:32:33.015Z,False,False,False,False,False,True,0.49383561643835616
C176,0,1,2024-07-04T22:32:33.016Z,False,False,False,False,True,False,0.2554794520547945
C177,0,1,2024-07-04T22:32:33.018Z,False,False,True,False,False,False,0.00205479452054802
C178,1,0,2024-07-04T22:32:33.019Z,False,False,False,False,False,True,0.995890410958904
C179,0,1,2024-07-04T22:32:33.020Z,False,False,False,False,True,False,0.9130136986301371
C180,1,1,2024-07-04T22:32:33.021Z,True,False,False,False,False,False,0.9136986301369863
C181,0,1,2024-07-04T22:32:33.023Z,False,False,False,True,False,False,0.526027397260274
C182,0,1,2024-07-04T22:32:33.024Z,False,False,False,False,False,True,0.8561643835616439
