product_id,event_time,category_baby_food_formula,category_baking_ingredients,category_candy_chocolate,category_chips_pretzels,category_cleaning_products,category_coffee,category_cookies_cakes,category_crackers,category_energy_granola_bars,category_frozen_meals,category_hair_care,category_ice_cream_ice,category_juice_nectars,category_packaged_cheese,category_refrigerated,category_soup_broth_bouillon,category_spices_seasonings,category_tea,category_vitamins_supplements,category_yogurt
P1,2024-07-04T22:34:32.391Z,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
P2,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
P3,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
P4,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
P5,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
P6,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
P7,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
P8,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
P9,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
P10,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
P11,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
P12,2024-07-04T22:34:32.392Z,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P13,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
P14,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
P15,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
P16,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
P17,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
P18,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
P19,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
P20,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
P21,2024-07-04T22:34:32.392Z,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P22,2024-07-04T22:34:32.392Z,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P23,2024-07-04T22:34:32.392Z,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
P24,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
P25,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
P26,2024-07-04T22:34:32.392Z,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
